Name/Title/Company,Ph. Number,Web Address/Email,Address,Reason(s) for Contacting,,,,,,,,,,,,,,,,,,,,,,,,
Aid to the needy disabled,719-636-0000,888-900-5899  https://cdhs.colorado.gov/adult-financial-programs,,"The Aid to the Needy Disabled-Colorado Supplement (AND-CS) program provides a supplemental payment for clients age zero (0) to fifty-nine (59), who are receiving Supplemental Security Income (SSI) due to a disability or blindness and are not receiving the full SSI benefit. The total AND-CS grant standard is $967, effective 01/01/2025",,,,,,,,,,,,,,,,,,,,,,,,
https://alliancechaffee.org/,855-924-7825,719-373-9703   https://airtalkwireless.com/,1115 Elkton Dr #300 Colorado Springs CO 80907,,,,,,,,,,,,,,,,,,,,,,,,,
Al-anon/alateen,719-632-0063,303-777-5482   https://al-anon-co.org/service_centers/pikes-peak-al-anon-alateen-service-center/,"10 Boulder Crescent St, Ste 203C, Colorado Springs, CO 80903","Alcoholics anonymous, alcoholics anonymous for teens as well",,,,,,,,,,,,,,,,,,,,,,,,
All Breed Rescue and Training,(719) 264-6460,http://haveanicedog.org/,"410 1/2 E Fillmore St, Colorado Springs, CO 80907","All Breed Rescue & Training (ABRT) is a 501(c)(3) nonprofit dog rescue and training organization based in Colorado Springs. Since 1994, we’ve been rescuing, rehabilitating, and finding forever families for dogs deemed unadoptable and facing euthanasia. Our 98% adoption success rate proves that our positive reinforcement- and relationship-based training works. And we offer this training to the whole community—our many on-site, certified, trainers can help make your canine a happy member of your family, always.",,,,,,,,,,,,,,,,,,,,,,,,
"Alliance, The",719-539-7347,https://alliancechaffee.org/,"1055 E Rainbow Blvd, Salida, CO 81201","domestic violence assistance: 24/7 help line, legal court advocacy, housing assistance, support group, medical care, referrals to other sources, counseling; education for violence prevention and supporting services",,,,,,,,,,,,,,,,,,,,,,,,
Almost Home,303-659-6199,https://www.almosthomeonline.org/,,"Services for Adams, Broomfield, Sourthern Weld Counties housing resource database; emergency assistance, guaranteed income for older adults, housing navigation center, housing stability program, emergency family shelter, severe weather program, street outreach program, respite housing program, rapid re-housing programs, workshops",,,,,,,,,,,,,,,,,,,,,,,,
Alternative Horizons,970-247-9619,http://alternativehorizons.org/,Deborah Cave at cocafcave@yahoo.com,"24/7 hotline and advocacy services, criminal court services, bridges of hope legal project, domestic violence advocacy-based counseling services, education/awareness; resource database: stats, facts & warning signs, how to help someone being abused, diverse populations, safety planning",,,,,,,,,,,,,,,,,,,,,,,,
Alternative to TANF,719-428-6100,admin@adultcommunityservices.com    http://adultcommunityservices.com/,"5390 N Academy Blvd #200, Colorado Springs, CO 80918",Medicaid and Medicare clients: in-home therapy available; ,,,,,,,,,,,,,,,,,,,,,,,,
Adult Community Services,970-669-5150,719-428-6100  adultcommunityservices.com    admin@adultcommunityservices.com,"5390 N Academy Blvd #200, Colorado Springs, 80918","Diagnostic screening, comprehensive assessments, personalized treatment plans, crisis safety planning, crisis intervention & de-escalation, targeted case management, job application assistance, housing application support, access to food and clothing, monthly budget planning, daily living checklist, life skills",,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Connected,800-272-3900,https://alzconnected.org/,,"ALZConnected is a free online community designed for people living with dementia and those who care for them. Members can post questions about dementia-related issues, offer support, and create public and private groups around specific topics.",,,,,,,,,,,,,,,,,,,,,,,,
Alzheimer's Foundation of America,866-232-8484,https://alzfdn.org/afahelpline/,,"Resource Database for those suffering from alzheimers, support groups",,,,,,,,,,,,,,,,,,,,,,,,
Alzheimers Association,800-272-3900,alz.org,,"Resource Database for those suffering from alzheimers, support groups",,,,,,,,,,,,,,,,,,,,,,,,
Amazon Worker Whereabouts,888-892-7180,,,"If a client is working in an amazon warehouse and you need to do a whereabout call, call this number to be connected with a work verification specialist and it will give you real time updates about his location at work; has a program to give homeless the gear to make it through the winter cold.",,,,,,,,,,,,,,,,,,,,,,,,
American Assistance,877-266-7212,https://www.americanassistance.com/,,"Government phone medicaid phone, sim card application",,,,,,,,,,,,,,,,,,,,,,,,
American Red Cross,877-272-7337,,Bldg 1217,Fort Carson military branch Red Cross,,,,,,,,,,,,,,,,,,,,,,,,
American Red Cross of Northern Colorado,733-327-6777,http://redcross.org/get-help.html,N/A,Offers imm financial relief up to $450 to those whose primary residence was damaged/destroyed by Colorado wildfires,,,,,,,,,,,,,,,,,,,,,,,,
American Sign Language ASL Comm Classes,719-578-2100,https://csdb.colorado.gov/outreach/asl-community-classes?embedded_webview,,American Sign Language classes,,,,,,,,,,,,,,,,,,,,,,,,
Americans with Disabilities Act request form,,https://www.acc.com/sites/default/files/resources/vl/membersonly/SampleFormPolicy/1361980_1.pdf, ,"If you want to request ADA accomodations, here's one possible form you can use.",,,,,,,,,,,,,,,,,,,,,,,,
Americorps,800-942-2677,americorps.gov,nationwide,"Federal agency for national service and volunteerism. From mentoring students to supporting disaster recovery, helping older adults age with dignity and tackling other pressing needs, AmeriCorps helps communities across the country. Was defunded by DOGE, reinstated beginning of 2025.",,,,,,,,,,,,,,,,,,,,,,,,
ANAD,1-888-375-7767,https://anad.org/get-help/eating-disorders-helpline/,,Eating Disorder Helpline,,,,,,,,,,,,,,,,,,,,,,,,
Angel Tree,719-382-1182,https://saangeltree.org/,"May change for this year, 208 Cunningham Dr, 80911","Provides Christmas gifts through Angel Tree to seniors and children in need. Once you have been accepted into the program an Angel will receive your submitted Christmas Wishlist and donors in the community will purchase the new clothes and gifts. Requirements: provide photo ID, proof of residence (envelope?) id for child (birth certificate), detailed info about your request",,,,,,,,,,,,,,,,,,,,,,,,
Angel's of America's Fallen,719-377-7352,http://www.aoafallen.org/,,"""Angels of America’s Fallen is a 501(c)(3) that empowers children of fallen military, police, fire, and EMS heroes by engaging them in positive activities throughout their entire childhood. We support the children not just one time, but through a commitment to see them engaged positively in healthy activities such as sports, music, and other arts all year, every year, all the way through 18 years old without having to reapply. These provided activities have coaches or instructors who can help provide some positive mentoring the children are missing without the guidance and support of their fallen hero. We also provide trauma-informed client-centered case management, peer support for the surviving parent and children, outreach and referrals.""",,,,,,,,,,,,,,,,,,,,,,,,
Another Life Foundation,719-216-7238,https://www.anotherlifefoundation.com/,801 N Weber St 80903,"Helps sign up for SSI/SSDI/Benefits. Minority mental health professionals, Speakers Bureau, SOAR (social security appointed rep services), the Black Men's Project",,,,,,,,,,,,,,,,,,,,,,,,
Apple One,800-564-5644,appleone.com,1155 Kelly Johnson Blvd 80920,"Job agency with services that Includes: professional, healthcare, admin, manufacturing, engineering, management, IT, accounting, warehouse, sales, labor, construction, and hospitality",,,,,,,,,,,,,,,,,,,,,,,,
ARC thrift stores Pikes Peak Region,719-471-4800,https://www.thearcppr.org/,"10 N Meade Ave, Colorado Springs, CO, 80909","Promote and protect the rights of individuals with intellectual and Advocacy for individuals with intellectual will help peopland developmental disabilities, IDD, developmental disabilities, facilitate choices and promote independence and inclusion in community life; can help sign up for SSI/SSDI",,,,,,,,,,,,,,,,,,,,,,,,
ARCH National Respite Network,703-256-2084,https://archrespite.org/,North Carolina,"Resource database, Respite care information, resources",,,,,,,,,,,,,,,,,,,,,,,,
Archuletta County Resources List,,https://www.archuletacounty.org/230/Medical-Food-and-Financial-Assistance, ,Resource Database for Archuletta County,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Valley Resource Center,719-384-7764,https://arkansasvalleyresourcecenter.org/,"Bent, Crowley, & Otero Counties, CO","24/7 crisis line, peer & group counseling, legal advocacy, children’s counseling, financial assistance, advocacy, & emergency shelter.",,,,,,,,,,,,,,,,,,,,,,,,
Army Community Service Specialist,719-526-4590,,,"Army Community Service specialist to get helpful tips, tools and resources to thrive at Fort Carson Colorado for military and veteran assistance",,,,,,,,,,,,,,,,,,,,,,,,
Army Community Services,(719) 526-4590,,"6303 Wetzel Ave Bldg 1526 Fort Carson, CO 80913","Boot Camp for New Dads (3 sessions), Nuturing Parenting Program, Infant Massage, Baby Nuturing (0-18months), Cooperative Parenting through Divorce, Playgroups every Friday 10am-Noon",,,,,,,,,,,,,,,,,,,,,,,,
Army Emergency Relief,888-878-6378,https://www.armyemergencyrelief.org/,"Arlington, VA","To provide grants, interest-free loans and scholarships to promote readiness and help relieve financial distress of Soldiers and their Families.",,,,,,,,,,,,,,,,,,,,,,,,
Army Military Pay Office,719-526-4084 719-526-1052,https://home.army.mil/carson/allservices/army-military-pay-office,"1676 Evans Ave Building 1220, first floor",Soldiers whose LES shows 'no pay due'; direct deposit did not post to their bank; allotment did not reach the intended recipient; garnishment payment did not reach the intended recipient; LES reflects a debt they do not understand or are doing business for (cash collection payments); RC/NG SM starting or ending tours of 30 days or longer; MyPay password reset,,,,,,,,,,,,,,,,,,,,,,,,
ARRT Colorado,no ph num,https://arrtcolorado.org/thank-you/,"2851 S Parker Rd., Suite 430",Sex offender treatment,,,,,,,,,,,,,,,,,,,,,,,,
ASCA,,https://www.ascasupport.org/     info@ascasupport.org ,,"Adult Survivors of Child Abuse support groups, materials, resources, meetings",,,,,,,,,,,,,,,,,,,,,,,,
Ascend Center,719-328-2200,https://gazette.com/news/local/new-ascend-center-in-colorado-springs-a-hub-for-helping-at-risk-youth-rise-above/article_9b2a55b0-dcf2-11ef-b3f6-1feb9f67e42f.html,"1600 N Union Blvd, 80909",Assistance for at-risk youth for building up the entire family to help the children start to thrive,,,,,,,,,,,,,,,,,,,,,,,,
Ascending to Health Respite Care,719-635-7639,https://www.athrc.com/   referrals@athrc.com ,"1007 S Tejon St, C/S, CO 80903","Partnered with local motels, homeless recoup post hospital care. A couple of EMTs also go around offerring care in real time to the people that can't get normal care. Shelter/housing. Daily vitals check, care coordination w/ specialty providers, transport to appts and from, daily nutrition, benefits enrollment, connection to PCP, behavioral health providers, assistance navigating long-term care and other housing options. ATHRC offers trained/certified peer navigators for substance use disorders. Assistance navigating sover living apps, support services. Respite Care.",,,,,,,,,,,,,,,,,,,,,,,,
Aspen Pointe Pathways Access Center; now diversus health,719-572-6100,diversushealth.org,"875 W Moreno Ave, 80905",Self-care and mental health center; crisis service; psychiatric inpatient and outpatient; behavioral health care for all ages; addiction services; counseling services; case management,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Ridge Recovery,"Lakewood, Colorado Springs, Fort Collins, Virtual Care: https://reachonlinerecovery.com/",https://www.aspenridgerecoverycenters.com/colorado-drug-and-alcohol-rehab-programs/,"Lakewood, Colorado Springs, Fort Collins, Virtual Care: https://reachonlinerecovery.com/","Sober living, mental health counseling, virtual care, takes SOME sex offenders",,,,,,,,,,,,,,,,,,,,,,,,
Assisstance League,719-475-1029,https://www.assistanceleague.org/colorado-springs/   assistanceleague@al-cos.org,"405 S Nevada Ave, 80903","Family and children assistance, children clothing for school, hearing tests for class, for kids coming of age and out of the system a mattress box spring frame and bedding for first place, stuffed bear for kiddos surviving trauma; thrift store bargain box",,,,,,,,,,,,,,,,,,,,,,,,
Assissted Living Guide,,https://www.assistedliving.org/emergency-housing-guide/,,Help with assissted living for seniors,,,,,,,,,,,,,,,,,,,,,,,,
Assurance Wireless,888-321-5880,assurancewireless.com,,T-Mobile med phone,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Prepatory Grade School,719-559-7737,https://www.atlasprep.org/,"1515 Pulsar Dr, 80916","Tuition free school, bi-lingual, public charter school, teaches core curriculum, trade skills",,,,,,,,,,,,,,,,,,,,,,,,
Atlas Prepatory High School,719-302-2002,atlasprep.org,"1450 Academy Park Look, 80910","Tuition free school, bi-lingual, public charter school, teaches core curriculum, trade skills",,,,,,,,,,,,,,,,,,,,,,,,
Atlas Prepatory Middle School,719-358-7196,https://www.atlasprep.org/,"1602 S Murray Blvd, 80916","Tuition free school, bi-lingual, public charter school, teaches core curriculum, trade skills",,,,,,,,,,,,,,,,,,,,,,,,
ATSA Association for the Treatment and Prevention of Sexual Abuse,,https://www.atsa.com/#   office@atsa.com,"9450 SW Gemini Dr, PMB 24121, Beaverton, Oregon 97008-7105","Creating a world where ending sexual harm is a shared responsibility and an achievable goal. ATSA champions research and treatment, informs public policy, and advocates for best practice.",,,,,,,,,,,,,,,,,,,,,,,,
Aurora Regional Navigation Campus,engagecec@auroragov.org,https://engageaurora.org/navigationcampus,15550 E 40th Ave Aurora,Resource Navigation location opening late 2025,,,,,,,,,,,,,,,,,,,,,,,,
Autistic Wings Dance Company,719-301-9614,https://www.autisticwingsdancecompany.org/,"6414 N Academy Blvd, C/S, CO 80918",A dance studio that accepts people with autism and all their quarks.,,,,,,,,,,,,,,,,,,,,,,,,
Avenues Detox and Rehab,720-704-0844,https://www.avenuesrecovery.com/locations/drug-rehab-denver-colorado/,"1820 S Potomac St, Aurora, CO 80012","Detox and rehab, 211 has heard good things about this place!",,,,,,,,,,,,,,,,,,,,,,,,
Backpack Bed,,backpackbed.org,,"Homeless proof bed, freezing temps, water, wind, mosquito protection",,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Library of Historical Children's Literature,,https://ufdc.ufl.edu/collections/juv/,,Free access to scanned version of many historical children's literature,,,,,,,,,,,,,,,,,,,,,,,,
Banfield Pet Hospital,719-315-6092,https://www.banfield.com/locations/veterinarians/co/colorado-springs/adc,"4276 N Academy Blvd, Colorado Springs, CO 80918","Offers first exam as being free, go to website to fill out coupon",,,,,,,,,,,,,,,,,,,,,,,,
Basic Computer Classes,,https://research.ppld.org/adult-education/home,https://ppld.librarymarket.com/?program_types[162]=162&branches[387]=387&branches[375]=375&branches[86]=86&branches[87]=87&branches[88]=88&branches[89]=89&branches[382]=382&branches[90]=90&branches[91]=91&branches[92]=92&branches[93]=93&branches[94]=94&branches[95]=95&branches[96]=96&branches[97]=97&branches[98]=98&branches[99]=99&branches[100]=100&branches[80]=80,"Beginner classes for computers, peripherals, internet basics, email basics, word",,,,,,,,,,,,,,,,,,,,,,,,
Battlefields 2 Ballfields,,battlefields2ballfields.org,,Offers scholarships to train vets to become umpires and officials for local sports,,,,,,,,,,,,,,,,,,,,,,,,
Befrienders Worldwide,212-673-3000,https://befrienders.org/,inquiries@samaritansnyc.org,International suicide prevention hotline,,,,,,,,,,,,,,,,,,,,,,,,
Benefits Checkup,800-794-6559,benefitscheckup.org,,"Connects millions of older adults and people with disabilities with benefits programs that can help pay for health care, medicine, food, utilities and more; resource database",,,,,,,,,,,,,,,,,,,,,,,,
Benefits in Action,720-221-8354,https://www.benefitsinaction.org/ info@benefitsinaction.org,"12157 W Cedar Dr. Ste 100 Lakewood CO, 80228","Contacts that help sign up for Medicaid/Medicaire, SNAP, TANIF, WIC, Food delivery, Mental Wellness",,,,,,,,,,,,,,,,,,,,,,,,
Bentley Commons,,https://www.greccio.org/bentley-commons,"2730 Bentley Pt, 80910","Partnered with Greccio Housing, Partners in Housing and Rocky Mountain Community Land Trust-affordable housing",,,,,,,,,,,,,,,,,,,,,,,,
Best Buddies,800-892-8339,https://www.bestbuddies.org/colorado/,"Aurora, CO",National organizatin that pairs those with autism in high school with friends for socialization and companionship,,,,,,,,,,,,,,,,,,,,,,,,
Beth Haven,719-632-592-,bethhaveninc.org,"616 N Royer St, C/S, CO 80903","Mental Illness housing, must have persistent and severe mental illness and a way to pay for the services.",,,,,,,,,,,,,,,,,,,,,,,,
Better Offer,,betterofferco.org,,"Helps individuals find job training programs that put them on the path to earning at least 40,000/year",,,,,,,,,,,,,,,,,,,,,,,,
Better Tomorrow,970-879-2034,bettertomorrowco.org,"465 Anglers Dr, Ste B, Steamboat Springs, CO 80487",office@bettertomorrowco.org   ,,,,,,,,,,,,,,,,,,,,,,,,
Bike Clinic Too,719-358-3637,https://www.facebook.com/bikeclinictoo/,737 W Monument St 80904,"Providing free bicycles to those in need/homeless, expect a wait list",,,,,,,,,,,,,,,,,,,,,,,,
Birth Certificate,719-578-3199,healthinfo@elpasoco.com,"1675 W Garden of rthe Gods Rd, C/S, CO, 80907",Help with applying for a birth certificate/birth certificate request form,,,,,,,,,,,,,,,,,,,,,,,,
Black Resilience in Colorado BRIC,303-300-1790,http://denverfoundation.org/BlackResilience,Denver Colorado,"Established on Juneteenth (June 19), the Black Resilience in Colorado (BRIC) Fund explicitly directs resources to address systemic racism and its impact on Black communities across the seven-county Metro Denver region. BRIC is designed to support Black-led and serving nonprofit organizations. Through the Fund, nonprofits will have opportunities to leverage community assets, build organizational capacity, and secure resources during times of crisis.",,,,,,,,,,,,,,,,,,,,,,,,
Black Youth Success Movement,,https://www.cornerstonemovement.org/    https://www.cornerstonemovement.org/contact-us,https://www.cornerstonemovement.org/bysm,"Children of Color, poverty, inequities in most categories of well-being (housing, nutrition, transportation, child care, education, health care, wealth, incarceration, career opp and economic stab). First focus: education equity and success",,,,,,,,,,,,,,,,,,,,,,,,
Bone Marrow and Cancer Foundation,212-838-3029,http://bonemarrow.org/,"515 Madison Ave, Ste 1130, NY NY",Financial assistance for those waiting for bone marrow/stem cell/cord blood transplants; survivors can have educational fund,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club of America,719-570-7077  719-473-3490  719-570-6242,https://www.bgcppr.org/,1307 Aeroplaza Dr/805 Praderia Ave/ 1455 S Chelton Rd,"Youth arts, education and career development, character and leadership development, health and life skills, sports, fitness and recreation",,,,,,,,,,,,,,,,,,,,,,,,
Boys Town National Hotline,800-448-3000,,,"The Boys Town National Hotline is open 24 hours a day, 365 days a year and staffed by specially trained counselors. Parents, teens and families can find help with a range of issues including abuse, anger, depression, school issues, bullying etc.",,,,,,,,,,,,,,,,,,,,,,,,
Brad's House,,https://www.bradshouse.net/,,Youth Group home for at-risk youth,,,,,,,,,,,,,,,,,,,,,,,,
Brain Care LLC,719-520-5656,braincarellc.com,"Po box 25878, Colorado Springs, CO 80936",Specialized live-in communities located throughout southern Colorado and accept and serve residents from all over the US that suffered from brain injuries,,,,,,,,,,,,,,,,,,,,,,,,
Brain Injury Association of Colorado,303-355-9969,https://biacolorado.org/,"Denver, CO","Provides or guides people sufferring from brain injuries for clinical therapy services, education, recreation programs (hiking, cycling, rafting, skiing, tubing and ice fishing); in Denver a housing complex for those with special needs and TBI",,,,,,,,,,,,,,,,,,,,,,,,
Breakthrough Alliance of Colorado,720-722-6465,https://timetobreakthrough.org/      info@timetobreakthrough.org,"1766 W 46th Ave Denver, CO 80211","People helping to break the recidivism cycle, 8 month program in prison to prepare people for success on the outside",,,,,,,,,,,,,,,,,,,,,,,,
Breakthrough Type 1 Diabetes,303-955-1282,breakthrough1d.org,"720 S Colorado Blvd Ste 430-N, Denver CO 80246","Resource Database, forum, care packages for kids, adults, information, ",,,,,,,,,,,,,,,,,,,,,,,,
Breckenridge Outdoor Education Center,970-453-6422,boec.org,"boec@boec.org  524 Wellington Rd, Breckenridge, CO 80424","Outdoor learning experience for differently abled, those with a disability/special need; adaptive skiing and snowboard program, paddling great rivers, high ropes course, offers camps and retreats for individuals and custom group programs to anyone with any type of disability throught the calendar year, scholarships for participants with financial needs",,,,,,,,,,,,,,,,,,,,,,,,
Bright by Three,303-433-6200,earlychildhoodframework.org,"2605 Martin Luther King Blvd, Denver, CO, 80205","worked with parents and caregivers to enhance early childhood development, helping them create nurturing and responsive relationships and connecting them to valuable resources in their community. During 2018, Bright by Three collaborated with over 500 partner organizations to deliver our visitation and Bright by Text (BBT) programs",,,,,,,,,,,,,,,,,,,,,,,,
Bright Future Foundation,970-949-7086,https://mybrightfuture.org/,"Avon, CO","24/7 crisis line, emergency shelter, housing program, behavioral health services, legal representation, youth advocacy & mentorship, sexual assault examination/forensic nurse support, & education",,,,,,,,,,,,,,,,,,,,,,,,
Brighter World,970-875-6984,brighterworldcac.org   office@brighterworldcac.org,"465 Anglers Drive, Ste C Steamboat Springs 80487",Child advocacy for forensic interviews after traumatic (sometimes sexual) experiences,,,,,,,,,,,,,,,,,,,,,,,,
Brookings Research,202-540-7724,https://www.brookings.edu/articles/a-better-path-forward-for-criminal-justice-changing-prisons-to-help-people-change/,gsmedia@brookings.edu,Independent studies on prison life-tell your story,,,,,,,,,,,,,,,,,,,,,,,,
Bryson's Chase Foundation,,https://www.koaa.com/news/positively-colorado/mother-son-create-nonprofit-to-help-raise-funds-for-mental-health-resources,,have health coaches and licensed clinicians that are going into the different school districts and seeing students and providing resilience-based services.,,,,,,,,,,,,,,,,,,,,,,,,
